geoid,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
06037620301,153549,28012,5043,221,4164,25,230,195,406,156298,51806,4984,270,4069,0,244,200,407,160714,49698,4942,311,4147,0,244,161,337,202333,43619,4819,318,4020,16,296,96,334
06037620303,153021,17394,4271,295,3643,45,361,25,197,161200,24016,4442,277,3677,3,497,24,241,181406,49249,4569,292,3829,1,497,23,219,199408,48125,4502,296,3621,1,563,23,294
06037620305,121395,31636,5742,410,4851,56,172,264,200,138147,33246,5768,545,4915,65,220,330,238,127632,34594,5876,568,4891,87,550,215,133,118542,28034,5845,555,4827,56,653,160,133
06037620400,131558,28394,5213,299,3961,18,704,83,423,134288,25616,5220,249,3938,18,802,119,343,135954,15246,5040,347,3901,18,766,81,274,138906,26355,5279,326,3983,0,882,88,326
06037620501,124296,10823,6254,529,4162,643,600,269,521,126141,4550,6394,509,4346,582,646,162,577,128803,14117,6063,374,4356,294,642,126,572,116602,29801,5726,428,3556,395,774,273,650
06037620521,93125,12225,3963,328,2548,134,653,127,501,104318,15485,4132,330,2421,190,739,184,598,125391,19433,4092,303,2405,116,744,220,586,123050,19608,3958,287,2673,58,593,200,411
06037620522,84118,15719,4841,402,3021,215,800,319,451,93523,17414,4816,348,2931,174,746,517,414,106654,19004,4968,420,3112,136,746,483,463,121000,33466,5024,339,3209,96,777,434,474
06037620601,102100,21901,5310,421,3444,272,619,429,515,93621,13800,5291,389,3047,284,705,827,396,87604,14815,5030,430,3003,207,837,607,376,92684,9393,5278,421,3313,170,1033,505,257
06037620602,118672,20350,5518,350,4081,0,926,272,206,114432,21236,5407,391,4021,0,976,129,252,126908,21660,5165,468,4111,0,697,119,229,129417,16822,5040,548,3866,0,823,76,261
06037620701,99231,11825,6549,385,4720,177,872,306,474,101388,8978,6654,315,5079,138,731,269,437,113789,23437,7184,415,5296,422,800,218,383,107722,17255,7211,465,5152,482,825,189,520
06037620702,132587,14362,7004,536,5151,35,1137,227,427,138068,18894,7261,488,5428,23,1111,289,391,148565,14842,7391,482,5423,231,1142,190,379,155069,23356,7375,436,5364,264,1135,153,428
06037620800,150057,22059,8190,355,5745,109,1491,50,795,156321,23016,7914,436,5623,23,1450,225,593,158668,26659,7735,433,5203,29,1690,207,606,156394,24678,7844,504,5331,63,1805,218,409
06037620901,177132,37991,2840,222,2425,39,261,28,87,196250,22230,2982,184,2469,24,326,28,135,201125,22209,2943,180,2403,23,336,16,165,205750,21759,2785,180,2115,23,441,10,196
06037620904,190909,34291,2852,292,2640,0,140,0,72,176613,49133,2822,288,2471,0,162,9,180,177632,38524,2900,303,2555,0,93,35,205,182831,22844,2897,283,2542,0,68,42,230
06037621001,120625,13852,4540,267,3844,12,261,117,194,125469,9105,4533,280,3750,25,274,156,207,127750,23038,4457,299,3585,25,287,153,338,136285,22137,4373,286,3561,28,277,133,304
06037621002,99000,19627,1005,132,923,33,31,12,0,101500,22989,935,127,829,30,59,11,6,117262,18272,976,140,812,38,99,21,6,135991,22186,879,138,795,6,55,16,7
06037621004,105000,31151,4303,347,3942,2,98,48,199,108281,23646,4365,371,3826,2,241,21,252,121384,18317,4247,347,3721,3,200,29,256,124918,25800,4086,337,3555,3,196,21,310
06037621102,154022,25943,2997,217,2791,9,127,0,45,156583,25570,3033,215,2691,9,160,11,124,161204,30215,2896,230,2431,19,176,9,234,179141,19759,3069,274,2493,18,169,22,337
06037621104,126743,27413,6881,392,5836,206,410,22,393,131500,21475,6884,383,5842,170,457,72,327,150710,18292,7074,455,6099,179,457,60,262,139265,19713,7132,431,6122,137,316,136,402
06037621201,111017,12998,6292,412,5029,154,614,170,298,114183,6408,6288,398,4826,115,693,291,331,114583,4953,6601,497,4884,127,782,320,452,120022,14458,6724,621,5006,139,713,263,566
06037621204,84938,8010,3161,290,2088,159,444,417,42,88639,10836,3160,294,2353,135,443,164,54,95403,12229,3142,336,2344,146,428,157,55,109671,16589,3052,229,2216,159,443,156,77
06037621301,101140,14337,7437,416,5744,82,931,296,384,99906,13332,6978,442,5519,208,724,124,403,106044,19732,6819,666,4974,245,945,28,627,113500,20032,6973,611,5063,230,978,43,659
06037621324,112733,17764,3977,555,3455,54,267,107,94,102083,15487,3856,446,3217,58,294,141,146,91816,9852,3804,381,3112,53,347,142,139,92710,6168,3740,403,2792,95,440,117,279
06037621326,92500,7370,2990,199,2393,40,234,164,100,95286,7302,2954,201,2455,29,175,166,102,102703,12238,2945,207,2445,55,165,132,148,102057,8193,3017,217,2445,63,183,119,207
06037621400,88266,17044,4368,367,3497,65,416,118,258,102880,14095,4759,381,3749,71,462,145,300,106591,9746,4496,301,3426,111,437,134,352,107621,9714,4305,293,3198,177,422,133,306
06037650001,74611,18214,5985,350,1914,104,2806,614,508,76505,16436,5635,429,2143,16,2484,521,444,92101,13979,5617,398,1855,18,2684,643,379,96250,14229,5805,389,2079,115,2505,721,344
06037650003,47574,8180,3185,312,1182,124,1100,447,332,50850,16524,3056,280,1203,204,1007,393,240,64444,26287,3200,269,1084,232,1000,572,282,63906,20983,3202,260,1204,216,830,608,326
06037650004,60093,9459,3962,300,1413,225,1615,188,496,69216,7417,4136,328,1470,242,1672,263,458,70134,8341,4023,380,1279,247,1878,170,422,75994,19605,4125,302,1549,272,1729,167,400
