"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4427","346","640","121","106","61","0","12","3338","379","0","12","119","84","224","111","56","52","168","98","1400000US06037554517","Census Tract 5545.17, Los Angeles County, California"
"5417","354","1146","247","372","268","0","17","3375","260","0","17","396","243","128","91","39","60","89","71","1400000US06037554518","Census Tract 5545.18, Los Angeles County, California"
"3597","252","751","213","96","77","88","127","2317","219","45","63","128","147","172","105","29","52","143","88","1400000US06037554519","Census Tract 5545.19, Los Angeles County, California"
"6144","355","1931","298","594","202","11","16","2628","273","19","43","632","375","329","227","188","214","141","86","1400000US06037554521","Census Tract 5545.21, Los Angeles County, California"
"5088","272","1399","211","419","118","39","35","2548","233","0","17","382","224","301","170","109","122","192","120","1400000US06037554522","Census Tract 5545.22, Los Angeles County, California"
"4441","418","2323","525","185","162","0","12","1423","265","0","12","370","216","140","103","79","95","61","58","1400000US06037554600","Census Tract 5546, Los Angeles County, California"
"4528","407","1879","468","58","60","24","23","668","221","15","23","1806","517","78","85","43","66","35","46","1400000US06037554700","Census Tract 5547, Los Angeles County, California"
"3206","337","1559","364","36","36","0","12","330","104","0","12","1124","343","157","104","28","25","129","104","1400000US06037554801","Census Tract 5548.01, Los Angeles County, California"
"6275","416","2180","360","264","241","30","49","2615","345","27","41","787","338","372","221","263","211","109","90","1400000US06037554802","Census Tract 5548.02, Los Angeles County, California"
"7372","481","2460","542","393","503","56","82","3218","593","0","17","974","583","271","203","124","165","147","118","1400000US06037554900","Census Tract 5549, Los Angeles County, California"
"5578","437","1895","445","382","204","53","35","1483","369","0","17","1385","396","380","208","234","205","146","73","1400000US06037555001","Census Tract 5550.01, Los Angeles County, California"
"3226","254","1673","319","221","114","9","14","476","199","0","12","772","250","75","43","9","13","66","44","1400000US06037555002","Census Tract 5550.02, Los Angeles County, California"
"6417","485","1528","377","626","191","42","40","1756","393","79","114","2081","379","305","200","218","189","87","80","1400000US06037555102","Census Tract 5551.02, Los Angeles County, California"
"5012","347","1513","244","460","261","52","82","1966","334","5","18","801","327","215","155","67","88","148","130","1400000US06037555103","Census Tract 5551.03, Los Angeles County, California"
"4117","375","1541","394","473","281","12","19","1006","329","12","36","952","439","121","69","23","23","98","64","1400000US06037555104","Census Tract 5551.04, Los Angeles County, California"
"3336","245","2505","351","69","73","0","12","431","224","0","12","77","75","254","174","10","16","244","170","1400000US06037555202","Census Tract 5552.02, Los Angeles County, California"
"5894","377","1931","632","127","142","0","17","277","135","21","35","3472","582","66","63","33","32","33","54","1400000US06037555211","Census Tract 5552.11, Los Angeles County, California"
"4649","432","1445","398","197","175","37","71","491","190","0","12","2398","413","81","57","51","48","30","28","1400000US06037555212","Census Tract 5552.12, Los Angeles County, California"
"4995","363","2520","404","247","105","10","16","1091","306","148","144","624","266","355","135","102","100","253","114","1400000US06037570001","Census Tract 5700.01, Los Angeles County, California"
"3110","183","1693","237","198","141","16","26","316","106","74","79","605","255","208","111","49","52","159","94","1400000US06037570002","Census Tract 5700.02, Los Angeles County, California"
"4401","405","2145","301","275","192","66","59","947","271","8","15","590","254","370","134","99","90","271","144","1400000US06037570003","Census Tract 5700.03, Los Angeles County, California"
"3182","395","1133","277","864","248","0","12","541","114","45","51","481","262","118","70","17","22","101","66","1400000US06037570100","Census Tract 5701, Los Angeles County, California"
"5943","551","1932","439","1036","303","29","37","765","168","42","67","2057","471","82","55","12","15","70","46","1400000US06037570202","Census Tract 5702.02, Los Angeles County, California"
"3856","462","850","394","930","218","0","12","302","160","20","34","1711","486","43","34","20","23","23","26","1400000US06037570203","Census Tract 5702.03, Los Angeles County, California"
"4214","368","1298","298","791","205","103","176","419","137","54","87","1518","469","31","53","31","53","0","12","1400000US06037570204","Census Tract 5702.04, Los Angeles County, California"
"7567","630","2698","742","985","286","31","34","578","211","189","249","2656","799","430","263","90","123","340","220","1400000US06037570301","Census Tract 5703.01, Los Angeles County, California"
"4372","458","988","400","652","166","0","12","642","180","0","12","1749","509","341","252","155","219","186","134","1400000US06037570303","Census Tract 5703.03, Los Angeles County, California"
"4886","509","1513","363","1043","349","75","71","478","273","5","8","1545","397","227","127","200","128","27","22","1400000US06037570304","Census Tract 5703.04, Los Angeles County, California"
"3599","290","706","246","1400","196","0","12","207","100","120","109","935","232","231","117","109","86","122","78","1400000US06037570402","Census Tract 5704.02, Los Angeles County, California"
"5186","382","1452","475","541","208","0","17","193","153","0","17","2887","536","113","81","21","33","92","73","1400000US06037570403","Census Tract 5704.03, Los Angeles County, California"
"3487","245","1053","290","676","139","16","24","148","107","129","131","1349","306","116","92","44","39","72","81","1400000US06037570404","Census Tract 5704.04, Los Angeles County, California"
"7282","581","2520","712","922","502","58","85","719","256","359","340","2356","824","348","165","214","164","134","86","1400000US06037570501","Census Tract 5705.01, Los Angeles County, California"
"6356","559","2227","476","561","183","10","14","1141","269","18","28","2119","559","280","184","19","16","261","183","1400000US06037570502","Census Tract 5705.02, Los Angeles County, California"
"5882","399","1640","475","1000","322","303","267","642","203","92","106","1983","573","222","297","203","296","19","24","1400000US06037570601","Census Tract 5706.01, Los Angeles County, California"
"6700","515","2120","563","791","293","0","17","1466","301","63","79","2047","770","213","98","37","35","176","94","1400000US06037570602","Census Tract 5706.02, Los Angeles County, California"
"4938","400","962","271","2332","350","7","11","241","192","118","119","1102","373","176","96","75","69","101","74","1400000US06037570603","Census Tract 5706.03, Los Angeles County, California"
"6941","727","2455","558","1192","304","0","17","1246","570","319","364","1142","530","587","278","198","142","389","259","1400000US06037570701","Census Tract 5707.01, Los Angeles County, California"
"2344","173","1232","197","244","130","40","59","369","96","0","12","394","141","65","50","0","12","65","50","1400000US06037570702","Census Tract 5707.02, Los Angeles County, California"
"5582","410","3683","399","222","166","41","47","673","214","143","219","535","321","285","140","64","53","221","119","1400000US06037570800","Census Tract 5708, Los Angeles County, California"
"5789","349","3708","433","366","231","11","16","731","124","25","40","656","272","292","148","178","124","114","69","1400000US06037570901","Census Tract 5709.01, Los Angeles County, California"
"3773","336","2030","234","170","140","6","12","474","140","0","12","662","293","431","287","15","19","416","285","1400000US06037570902","Census Tract 5709.02, Los Angeles County, California"
"5835","378","4476","330","367","277","0","17","451","173","9","13","293","207","239","185","114","110","125","105","1400000US06037571000","Census Tract 5710, Los Angeles County, California"
"4483","304","3198","295","145","108","8","12","304","111","0","12","556","284","272","119","65","68","207","114","1400000US06037571101","Census Tract 5711.01, Los Angeles County, California"
"4052","360","2333","340","107","107","16","23","565","304","355","378","390","200","286","150","53","44","233","129","1400000US06037571102","Census Tract 5711.02, Los Angeles County, California"
"7774","484","4363","542","954","526","0","17","921","397","77","120","989","559","470","262","22","34","448","257","1400000US06037571200","Census Tract 5712, Los Angeles County, California"
"4194","300","2515","237","296","90","0","12","788","154","12","20","320","147","263","139","51","57","212","126","1400000US06037571300","Census Tract 5713, Los Angeles County, California"
"4502","293","2290","274","549","112","31","50","722","137","35","52","745","267","130","85","25","24","105","80","1400000US06037571400","Census Tract 5714, Los Angeles County, California"
"4507","494","1311","266","847","215","0","12","805","183","17","26","1278","421","249","158","64","57","185","140","1400000US06037571502","Census Tract 5715.02, Los Angeles County, California"
"3835","409","1323","318","682","207","0","12","844","276","0","12","703","254","283","148","195","121","88","73","1400000US06037571503","Census Tract 5715.03, Los Angeles County, California"
"4804","394","1761","291","834","211","25","39","670","249","154","202","1102","323","258","152","122","108","136","115","1400000US06037571504","Census Tract 5715.04, Los Angeles County, California"
"2199","152","323","116","1301","152","0","12","31","25","0","12","492","169","52","42","8","12","44","39","1400000US06037571600","Census Tract 5716, Los Angeles County, California"
"6284","568","2061","571","943","345","16","22","797","215","81","98","1987","568","399","179","232","150","167","98","1400000US06037571701","Census Tract 5717.01, Los Angeles County, California"
"3721","521","687","268","976","550","19","21","362","224","0","12","1348","559","329","276","0","12","329","276","1400000US06037571703","Census Tract 5717.03, Los Angeles County, California"
"4320","415","1229","368","784","328","73","75","291","122","79","101","1699","441","165","117","21","33","144","123","1400000US06037571704","Census Tract 5717.04, Los Angeles County, California"
"3032","211","1826","239","255","118","0","12","397","90","0","12","468","112","86","70","11","18","75","68","1400000US06037571800","Census Tract 5718, Los Angeles County, California"
"5724","348","3650","456","588","322","113","135","497","259","0","17","431","206","445","219","20","34","425","212","1400000US06037571900","Census Tract 5719, Los Angeles County, California"
"5449","390","3558","420","276","179","0","17","482","197","0","17","470","233","663","281","89","91","574","268","1400000US06037572001","Census Tract 5720.01, Los Angeles County, California"
"5304","468","2485","446","1433","457","0","17","861","321","37","42","288","230","200","82","42","40","158","75","1400000US06037572002","Census Tract 5720.02, Los Angeles County, California"
"1035","116","469","129","149","99","4","6","300","115","8","12","61","44","44","30","0","12","44","30","1400000US06037572100","Census Tract 5721, Los Angeles County, California"
"6417","408","2707","429","1030","286","0","17","2129","324","10","19","237","187","304","185","181","146","123","95","1400000US06037572201","Census Tract 5722.01, Los Angeles County, California"
"3747","287","1042","304","467","168","0","12","1133","232","291","236","654","265","160","93","43","41","117","91","1400000US06037572202","Census Tract 5722.02, Los Angeles County, California"
"4216","313","2120","383","346","153","97","153","835","209","102","74","591","213","125","84","14","19","111","83","1400000US06037572301","Census Tract 5723.01, Los Angeles County, California"
"3467","265","1181","346","459","121","55","78","916","187","91","80","660","367","105","72","16","17","89","72","1400000US06037572302","Census Tract 5723.02, Los Angeles County, California"
"1240","362","383","222","213","114","0","12","330","146","18","28","65","67","231","242","31","36","200","240","1400000US06037572400","Census Tract 5724, Los Angeles County, California"
"3804","540","1137","337","1051","233","0","12","439","165","266","400","648","378","263","283","75","99","188","278","1400000US06037572500","Census Tract 5725, Los Angeles County, California"
"5479","412","1268","471","729","324","10","16","1916","524","272","234","976","478","308","144","26","29","282","138","1400000US06037572600","Census Tract 5726, Los Angeles County, California"
"5601","551","1840","475","555","222","21","24","2221","359","292","341","382","170","290","130","156","95","134","96","1400000US06037572700","Census Tract 5727, Los Angeles County, California"
"1024","305","323","143","414","168","15","23","57","48","7","15","39","50","169","133","0","12","169","133","1400000US06037572800","Census Tract 5728, Los Angeles County, California"
"5687","385","3123","512","504","258","171","180","808","177","162","227","776","280","143","81","16","19","127","78","1400000US06037572900","Census Tract 5729, Los Angeles County, California"
"3977","407","2664","387","503","261","48","74","242","196","0","12","428","275","92","76","0","12","92","76","1400000US06037573002","Census Tract 5730.02, Los Angeles County, California"
"1854","207","972","200","173","127","97","94","282","109","0","12","202","91","128","104","86","102","42","29","1400000US06037573003","Census Tract 5730.03, Los Angeles County, California"
"4694","382","2351","463","992","243","237","304","585","161","99","90","347","187","83","57","6","9","77","58","1400000US06037573004","Census Tract 5730.04, Los Angeles County, California"
"7598","618","3298","633","1537","473","168","210","1167","319","0","17","1238","603","190","126","22","35","168","113","1400000US06037573100","Census Tract 5731, Los Angeles County, California"
"4877","464","2304","457","827","355","54","61","991","197","0","12","546","307","155","80","63","41","92","67","1400000US06037573201","Census Tract 5732.01, Los Angeles County, California"
"6435","470","2904","590","808","323","121","103","1129","303","26","41","1321","448","126","87","62","62","64","61","1400000US06037573202","Census Tract 5732.02, Los Angeles County, California"
"4185","353","1275","370","515","205","0","12","1680","283","15","35","606","252","94","127","7","12","87","127","1400000US06037573300","Census Tract 5733, Los Angeles County, California"
"1329","150","618","159","124","68","24","38","362","108","8","11","91","90","102","89","80","89","22","23","1400000US06037573401","Census Tract 5734.01, Los Angeles County, California"
"6765","383","3488","562","819","383","0","17","1771","531","54","66","377","341","256","184","34","40","222","184","1400000US06037573402","Census Tract 5734.02, Los Angeles County, California"
"3487","383","2119","382","293","244","0","12","869","149","11","16","97","92","98","70","0","12","98","70","1400000US06037573403","Census Tract 5734.03, Los Angeles County, California"
"6074","501","4335","472","685","554","40","46","547","330","52","63","201","116","214","135","43","47","171","132","1400000US06037573601","Census Tract 5736.01, Los Angeles County, California"
"4802","229","3848","257","83","61","9","15","484","138","1","2","86","82","291","128","32","52","259","123","1400000US06037573700","Census Tract 5737, Los Angeles County, California"
"4386","316","3289","340","47","55","251","176","375","211","50","52","133","96","241","102","21","25","220","104","1400000US06037573800","Census Tract 5738, Los Angeles County, California"
"1978","97","1467","153","170","100","18","15","171","69","0","12","20","18","132","70","6","9","126","70","1400000US06037573902","Census Tract 5739.02, Los Angeles County, California"
"5336","271","4154","310","220","160","23","36","420","104","0","17","117","67","402","145","85","61","317","125","1400000US06037574000","Census Tract 5740, Los Angeles County, California"
"5135","265","4090","303","99","92","77","79","408","79","0","17","152","75","309","114","95","67","214","97","1400000US06037574100","Census Tract 5741, Los Angeles County, California"
"3079","174","2358","240","100","72","11","19","347","107","0","12","111","86","152","89","11","17","141","94","1400000US06037574201","Census Tract 5742.01, Los Angeles County, California"
