geoid,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races
42101010900,18788,5378,2060,346,169,1833,43,15,0,18411,3198,2135,273,136,1947,28,0,24,18419,4057,1978,313,122,1812,27,0,17,19044,5563,2247,357,287,1852,63,4,41,19152,5467,2492,270,430,1882,86,4,90,20682,5660,2599,257,480,1936,76,5,102
42101011000,24663,2988,3410,508,64,3326,0,20,0,20926,5779,3458,432,69,3342,8,30,9,21452,4464,3571,499,212,3264,8,77,10,18780,3914,3278,521,222,2985,8,53,10,18147,4219,3545,574,228,3139,69,67,42,16627,3982,3936,764,200,3491,76,73,96
42101011100,18835,5415,3540,471,49,3395,43,0,53,18489,3024,3488,453,67,3328,41,0,52,17383,2875,3195,518,63,3081,8,0,43,18094,2827,3279,459,130,3095,9,0,45,19105,4447,3264,408,180,3074,10,0,0,19098,4584,3083,403,177,2887,19,0,0
42101011200,24548,5293,5689,1012,51,5113,1,337,187,24290,4423,5447,872,40,5255,2,36,114,23862,4153,4718,759,44,4652,2,0,20,23936,7705,4921,890,31,4843,2,0,45,24575,8002,4715,736,28,4584,2,61,40,26531,5583,4966,701,35,4792,1,77,61
42101011300,37996,4592,3275,510,30,3245,0,0,0,40435,5033,2868,458,0,2868,0,0,0,38398,7047,3127,556,0,3119,0,0,8,31553,7826,3016,493,0,3007,0,0,9,25581,7293,2912,499,0,2899,0,0,13,34495,9117,2744,423,0,2736,0,0,8
42101011400,29292,9115,7386,752,43,7203,76,25,39,31716,11162,7588,650,63,7371,82,27,45,27481,14699,7708,694,90,7380,95,77,66,41779,6435,7503,816,112,7144,165,60,22,37963,13816,7325,949,99,7163,0,44,19,47271,8882,7219,862,83,7061,0,54,21
42101011500,49734,7267,4305,437,611,3535,90,0,69,52083,8879,4482,410,417,3914,81,0,70,50647,7197,4473,407,541,3767,66,0,99,45156,6772,4681,351,453,4055,66,0,107,46288,4684,4686,384,346,4216,43,0,81,47349,7638,4766,419,252,4411,0,30,73
42101011700,62011,46285,2430,655,1556,643,136,77,18,50417,6661,2327,523,1560,575,113,67,12,50536,10832,2027,347,1327,507,118,57,18,60156,12920,1948,475,1257,508,60,86,37,63523,16980,1820,346,949,644,150,51,26,63333,13630,1899,402,982,675,191,15,36
42101011800,44638,8543,6532,592,96,5969,240,75,152,43396,7335,5794,620,75,5098,238,76,307,42510,8522,5879,646,62,5230,222,107,258,41706,7898,6197,626,151,5550,106,135,255,40557,7101,5909,696,65,5419,24,195,206,37390,4350,5856,716,70,5506,23,109,148
42101011900,35404,3494,5417,819,149,4843,21,112,292,36467,4533,5328,767,105,4831,109,105,178,34613,4261,5224,634,50,4865,129,0,180,30461,7010,4909,721,17,4600,110,86,96,24925,6430,4260,549,48,4013,127,29,43,30854,6472,4738,536,47,4418,110,68,95
