"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"5770","493","5245","500","13","19","2","4","328","137","0","17","105","114","77","93","0","17","77","93","1400000US51013101100","Census Tract 1011, Arlington County, Virginia"
"4192","394","2988","293","160","139","0","12","440","119","9","13","451","371","144","95","8","13","136","93","1400000US51013101200","Census Tract 1012, Arlington County, Virginia"
"6741","445","5548","495","75","71","0","17","556","139","0","17","49","47","513","361","257","361","256","171","1400000US51013101300","Census Tract 1013, Arlington County, Virginia"
"1302","128","1032","135","156","80","0","12","105","76","0","12","0","12","9","12","0","12","9","12","1400000US51013101401","Census Tract 1014.01, Arlington County, Virginia"
"2999","325","2443","341","76","72","44","54","380","152","0","12","0","12","56","33","0","12","56","33","1400000US51013101402","Census Tract 1014.02, Arlington County, Virginia"
"5492","455","4281","394","134","87","160","180","670","183","0","17","127","120","120","81","0","17","120","81","1400000US51013101403","Census Tract 1014.03, Arlington County, Virginia"
"4319","434","3334","335","176","161","0","12","648","268","0","12","59","80","102","83","0","12","102","83","1400000US51013101404","Census Tract 1014.04, Arlington County, Virginia"
"7475","577","6267","606","237","142","0","17","554","171","0","17","57","54","360","171","47","78","313","158","1400000US51013101500","Census Tract 1015, Arlington County, Virginia"
"1349","190","1068","164","5","7","0","12","217","128","0","12","0","12","59","72","0","12","59","72","1400000US51013101601","Census Tract 1016.01, Arlington County, Virginia"
"1678","164","1317","172","54","61","14","23","235","141","0","12","51","58","7","13","0","12","7","13","1400000US51013101602","Census Tract 1016.02, Arlington County, Virginia"
"3434","461","2459","406","279","356","0","12","580","243","14","22","39","63","63","55","0","12","63","55","1400000US51013101603","Census Tract 1016.03, Arlington County, Virginia"
"3426","428","2611","387","293","110","0","12","308","199","0","12","65","65","149","68","57","60","92","74","1400000US51013101701","Census Tract 1017.01, Arlington County, Virginia"
"4480","546","2953","506","186","192","17","27","1067","256","0","12","98","104","159","104","0","12","159","104","1400000US51013101702","Census Tract 1017.02, Arlington County, Virginia"
"1956","267","1518","280","133","90","0","12","295","178","0","12","0","12","10","16","0","12","10","16","1400000US51013101703","Census Tract 1017.03, Arlington County, Virginia"
"2399","440","1914","364","57","70","0","12","343","185","0","12","23","28","62","61","0","12","62","61","1400000US51013101801","Census Tract 1018.01, Arlington County, Virginia"
"6409","845","4367","497","209","138","0","17","862","357","0","17","732","723","239","183","0","17","239","183","1400000US51013101802","Census Tract 1018.02, Arlington County, Virginia"
"4031","354","3225","385","214","165","31","47","375","239","0","12","109","91","77","72","0","12","77","72","1400000US51013101803","Census Tract 1018.03, Arlington County, Virginia"
"3131","256","2773","269","115","106","0","12","129","65","0","12","4","11","110","86","2","5","108","86","1400000US51013101900","Census Tract 1019, Arlington County, Virginia"
"3163","597","1672","397","78","66","0","12","103","102","0","12","1306","766","4","7","0","12","4","7","1400000US51013102001","Census Tract 1020.01, Arlington County, Virginia"
"1753","309","1202","361","140","93","0","12","239","116","7","12","121","138","44","60","0","12","44","60","1400000US51013102002","Census Tract 1020.02, Arlington County, Virginia"
"3947","486","2501","488","563","206","0","12","472","266","0","12","268","269","143","109","4","66","139","96","1400000US51013102003","Census Tract 1020.03, Arlington County, Virginia"
"2437","214","1649","172","163","105","0","12","418","92","0","12","108","106","99","80","12","16","87","81","1400000US51013102100","Census Tract 1021, Arlington County, Virginia"
"7535","797","2184","627","1633","464","114","145","593","257","0","17","2826","994","185","131","43","52","142","109","1400000US51013102200","Census Tract 1022, Arlington County, Virginia"
"1612","149","1263","169","146","94","20","36","112","89","0","12","0","12","71","86","9","15","62","87","1400000US51013102301","Census Tract 1023.01, Arlington County, Virginia"
"4339","417","2803","425","138","138","0","12","284","154","10","16","1031","472","73","61","27","43","46","44","1400000US51013102302","Census Tract 1023.02, Arlington County, Virginia"
"3399","282","2450","271","347","112","24","28","201","84","27","36","84","65","266","167","94","107","172","99","1400000US51013102400","Census Tract 1024, Arlington County, Virginia"
"5184","447","3663","465","839","296","20","31","592","248","0","17","8","12","62","73","38","65","24","24","1400000US51013102500","Census Tract 1025, Arlington County, Virginia"
"3542","359","2265","376","252","124","0","12","471","165","3","7","518","292","33","26","10","14","23","22","1400000US51013102600","Census Tract 1026, Arlington County, Virginia"
"3668","436","1263","320","878","273","0","12","474","229","9","18","772","310","272","277","236","274","36","35","1400000US51013102701","Census Tract 1027.01, Arlington County, Virginia"
"2096","202","1406","243","277","180","0","12","164","90","0","12","141","166","108","71","30","37","78","71","1400000US51013102702","Census Tract 1027.02, Arlington County, Virginia"
"7572","851","3886","632","1408","478","21","33","801","456","0","17","1214","769","242","147","59","60","183","132","1400000US51013102801","Census Tract 1028.01, Arlington County, Virginia"
"1201","109","1100","136","48","47","0","12","25","17","0","12","13","15","15","14","0","12","15","14","1400000US51013102802","Census Tract 1028.02, Arlington County, Virginia"
"2688","297","2291","282","84","57","12","19","230","209","0","12","11","18","60","50","0","12","60","50","1400000US51013102901","Census Tract 1029.01, Arlington County, Virginia"
