"GEO_ID","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Geographic Area Name"
"1400000US11001007408","2675","492","59","47","2593","473","0","132","0","132","0","132","0","132","23","30","0","132","23","30","Census Tract 74.08, District of Columbia, District of Columbia"
"1400000US11001007409","3684","489","0","132","3635","494","0","132","0","132","0","132","49","75","0","132","0","132","0","132","Census Tract 74.09, District of Columbia, District of Columbia"
"1400000US11001007502","4000","619","37","44","3936","612","0","132","0","132","0","132","14","25","13","20","0","132","13","20","Census Tract 75.02, District of Columbia, District of Columbia"
"1400000US11001007503","2252","399","0","132","2252","399","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 75.03, District of Columbia, District of Columbia"
"1400000US11001007504","2907","511","60","76","2814","485","0","132","0","132","0","132","0","132","33","40","0","132","33","40","Census Tract 75.04, District of Columbia, District of Columbia"
"1400000US11001007601","3921","391","86","82","3815","386","0","132","0","132","0","132","9","15","11","19","0","132","11","19","Census Tract 76.01, District of Columbia, District of Columbia"
"1400000US11001007603","4425","550","214","128","3941","567","12","19","68","108","0","132","175","174","15","23","0","132","15","23","Census Tract 76.03, District of Columbia, District of Columbia"
"1400000US11001007604","3376","296","190","117","3157","271","0","132","0","132","0","132","29","43","0","132","0","132","0","132","Census Tract 76.04, District of Columbia, District of Columbia"
"1400000US11001007605","3409","374","133","130","3252","352","0","132","0","132","0","132","0","132","24","27","0","132","24","27","Census Tract 76.05, District of Columbia, District of Columbia"
"1400000US11001007703","5657","681","39","42","5298","620","5","8","0","132","0","132","279","379","36","60","0","132","36","60","Census Tract 77.03, District of Columbia, District of Columbia"
"1400000US11001007707","3748","449","78","77","3606","427","0","132","0","132","0","132","0","132","64","101","13","21","51","80","Census Tract 77.07, District of Columbia, District of Columbia"
"1400000US11001007708","2880","363","21","34","2811","354","0","132","0","132","0","132","21","52","27","45","0","132","27","45","Census Tract 77.08, District of Columbia, District of Columbia"
"1400000US11001007709","1564","232","53","62","1429","228","0","132","0","132","0","132","0","132","82","68","0","132","82","68","Census Tract 77.09, District of Columbia, District of Columbia"
"1400000US11001007803","2813","337","36","37","2762","335","0","132","15","17","0","132","0","132","0","132","0","132","0","132","Census Tract 78.03, District of Columbia, District of Columbia"
"1400000US11001007804","2976","493","6","10","2950","493","0","132","20","25","0","132","0","132","0","132","0","132","0","132","Census Tract 78.04, District of Columbia, District of Columbia"
"1400000US11001007806","2141","371","193","198","1884","352","0","132","0","132","0","132","0","132","64","82","50","80","14","21","Census Tract 78.06, District of Columbia, District of Columbia"
"1400000US11001007807","2029","331","23","37","2006","320","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 78.07, District of Columbia, District of Columbia"
"1400000US11001007808","3706","469","32","32","3593","456","0","132","19","26","0","132","62","89","0","132","0","132","0","132","Census Tract 78.08, District of Columbia, District of Columbia"
"1400000US11001007809","2711","406","27","31","2684","403","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 78.09, District of Columbia, District of Columbia"
"1400000US11001007901","3770","492","297","121","3297","427","48","72","109","123","0","132","0","132","19","30","0","132","19","30","Census Tract 79.01, District of Columbia, District of Columbia"
"1400000US11001007903","1475","253","36","31","1407","265","0","132","9","14","0","132","0","132","23","25","15","26","8","13","Census Tract 79.03, District of Columbia, District of Columbia"
"1400000US11001008001","2514","214","1109","165","1210","256","0","132","66","66","0","132","0","132","129","127","10","28","119","131","Census Tract 80.01, District of Columbia, District of Columbia"
"1400000US11001008002","3566","382","1694","278","1394","246","0","132","222","170","0","132","122","90","134","103","57","71","77","74","Census Tract 80.02, District of Columbia, District of Columbia"
"1400000US11001008100","3440","498","2666","312","667","412","11","31","52","52","0","132","19","30","25","29","0","132","25","29","Census Tract 81, District of Columbia, District of Columbia"
"1400000US11001008200","2774","283","2460","292","103","74","10","16","131","106","0","132","0","132","70","46","9","16","61","45","Census Tract 82, District of Columbia, District of Columbia"
"1400000US11001008301","2357","234","1870","227","316","108","0","132","89","104","0","132","34","38","48","56","0","132","48","56","Census Tract 83.01, District of Columbia, District of Columbia"
"1400000US11001008302","2017","214","1645","207","231","113","31","28","30","37","0","132","49","76","31","35","0","132","31","35","Census Tract 83.02, District of Columbia, District of Columbia"
"1400000US11001008402","2423","320","1180","237","1171","236","11","21","0","132","0","132","31","37","30","25","0","132","30","25","Census Tract 84.02, District of Columbia, District of Columbia"
"1400000US11001008410","1698","335","234","105","1316","354","0","132","52","65","0","132","33","43","63","88","0","132","63","88","Census Tract 84.10, District of Columbia, District of Columbia"
"1400000US11001008701","2028","263","161","113","1840","290","0","132","0","132","0","132","0","132","27","32","0","132","27","32","Census Tract 87.01, District of Columbia, District of Columbia"
"1400000US11001008702","1713","211","226","131","1347","222","58","92","0","132","0","132","30","34","52","44","29","49","23","29","Census Tract 87.02, District of Columbia, District of Columbia"
"1400000US11001008802","4386","517","363","175","3779","495","0","132","48","61","0","132","121","145","75","53","0","132","75","53","Census Tract 88.02, District of Columbia, District of Columbia"
"1400000US11001008803","1573","523","395","342","977","249","0","132","55","64","0","132","118","177","28","32","0","132","28","32","Census Tract 88.03, District of Columbia, District of Columbia"
"1400000US11001008804","2751","475","0","132","2664","473","0","132","0","132","0","132","50","57","37","46","0","132","37","46","Census Tract 88.04, District of Columbia, District of Columbia"
"1400000US11001008903","2259","297","29","45","2169","301","0","132","0","132","0","132","0","132","61","70","28","48","33","30","Census Tract 89.03, District of Columbia, District of Columbia"
"1400000US11001008904","3280","419","68","65","3161","423","0","132","0","132","0","132","0","132","51","43","15","25","36","35","Census Tract 89.04, District of Columbia, District of Columbia"
"1400000US11001009000","2594","304","22","25","2524","312","0","132","12","20","0","132","27","41","9","14","9","14","0","132","Census Tract 90, District of Columbia, District of Columbia"
"1400000US11001009102","4965","610","445","389","4471","543","0","132","9","15","0","132","0","132","40","49","0","132","40","49","Census Tract 91.02, District of Columbia, District of Columbia"
"1400000US11001009201","1339","260","332","218","832","223","4","8","32","32","0","132","91","145","48","56","0","132","48","56","Census Tract 92.01, District of Columbia, District of Columbia"
"1400000US11001009203","2541","489","360","324","1931","439","0","132","0","132","0","132","164","196","86","95","0","132","86","95","Census Tract 92.03, District of Columbia, District of Columbia"
"1400000US11001009204","2425","351","166","159","2059","345","11","18","36","43","0","132","103","165","50","53","0","132","50","53","Census Tract 92.04, District of Columbia, District of Columbia"
"1400000US11001009301","3485","377","886","198","2489","414","22","35","26","43","0","132","9","16","53","64","0","132","53","64","Census Tract 93.01, District of Columbia, District of Columbia"
