Station ID,Station,Latitude,Longitude,Municipality,publiclyExposed,# of Docks
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,1,15
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,1,19
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,Cambridge,1,19
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,1,19
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,1,21
A32040,Honan Library,42.3602737,-71.12852452,Boston,1,19
B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,1,15
M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,1,19
E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,1,15
C32020,ID Building East,42.344827,-71.028664,Boston,1,17
C32021,ID Building West,42.344796,-71.031614,Boston,1,19
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,1,15
M32062,Inman Square at Springfield St.,42.37438409,-71.10015746,Cambridge,1,19
M32010,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Cambridge,0,19
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,Boston,1,15
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,1,18
B32011,Jersey St. at Boylston St.,42.34468084,-71.09785348,Boston,1,19
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,Brookline,1,15
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,1,15
M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,1,15
M32004,Kendall T,42.36242784,-71.08495474,Cambridge,1,23
B32010,Kenmore Square,42.348706,-71.097009,Boston,1,15
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,1,15
B32015,Landmark Center - Brookline Ave at Park Dr,42.34519429,-71.10169709,Boston,1,15
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge,1,19
M32039,Lesley University,42.38674802,-71.11901879,Cambridge,1,15
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,1,19
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,1,19
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,1,15
B32019,Longwood Ave/Riverway,42.340299,-71.109927,Boston,0,15
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,1,19
S32013,Magoun Square at Trum Field,42.398365,-71.107818,Somerville,1,15
D32020,Main St at Austin St,42.375603,-71.064608,Boston,1,11
D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,1,19
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,1,15
M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,1,18
M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,1,19
C32050,Mattapan Library,42.2773889,-71.09325,Boston,1,15
C32045,Mattapan T Stop,42.267902,-71.093641,Boston,1,15
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,1,33
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,1,19
D32025,Milk St at India St,42.358483,-71.052979,Boston,0,15
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,1,27
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,1,19
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Cambridge,1,27
M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,1,25
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,1,15
C23045,Morton St T,42.28072514,-71.08617242,Boston,1,15
M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,1,19
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,1,15
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,1,19
M32045,Museum of Science,42.36769018,-71.07116282,Cambridge,1,19
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,1,37
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,1,15
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,1,15
B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,1,27
