"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"1350","202","895","206","344","170","7","10","0","12","0","12","104","81","0","12","0","12","0","12","1400000US36005003800","Census Tract 38, Bronx County, New York"
"6260","918","1308","542","1128","738","43","71","0","17","0","17","3758","969","23","50","23","50","0","17","1400000US36005003900","Census Tract 39, Bronx County, New York"
"1475","182","334","125","209","82","19","30","161","75","0","12","710","205","42","34","16","25","26","24","1400000US36005004001","Census Tract 40.01, Bronx County, New York"
"5942","799","970","452","2049","822","219","343","12","38","0","17","2454","640","238","253","182","241","56","83","1400000US36005004100","Census Tract 41, Bronx County, New York"
"7697","818","2407","805","3245","722","0","17","32","40","0","17","1551","605","462","297","395","291","67","76","1400000US36005004200","Census Tract 42, Bronx County, New York"
"5552","510","1065","385","1904","529","0","17","52","77","0","17","2196","422","335","246","231","227","104","137","1400000US36005004300","Census Tract 43, Bronx County, New York"
"4401","336","625","315","1781","405","5","11","113","116","0","12","1772","358","105","74","62","65","43","42","1400000US36005004400","Census Tract 44, Bronx County, New York"
"1961","200","891","254","716","208","0","12","0","12","0","12","267","127","87","111","87","111","0","12","1400000US36005004600","Census Tract 46, Bronx County, New York"
"4563","414","487","229","1012","450","138","138","122","158","0","12","2440","464","364","239","193","151","171","199","1400000US36005004800","Census Tract 48, Bronx County, New York"
"4604","388","292","132","1226","281","55","70","48","53","0","12","2845","434","138","99","61","69","77","73","1400000US36005005001","Census Tract 50.01, Bronx County, New York"
"5592","514","437","199","1195","345","5","11","54","84","0","17","3668","508","233","160","120","131","113","102","1400000US36005005002","Census Tract 50.02, Bronx County, New York"
"5737","559","436","241","2016","502","0","17","34","54","0","17","2991","625","260","299","229","294","31","36","1400000US36005005100","Census Tract 51, Bronx County, New York"
"1956","219","259","162","614","172","36","42","8","12","0","12","994","190","45","38","32","34","13","21","1400000US36005005200","Census Tract 52, Bronx County, New York"
"4888","411","541","222","2744","388","113","123","7","11","0","12","1357","364","126","84","34","32","92","76","1400000US36005005300","Census Tract 53, Bronx County, New York"
"5324","556","517","287","1554","426","310","408","151","95","0","17","2655","564","137","123","39","43","98","110","1400000US36005005400","Census Tract 54, Bronx County, New York"
"2279","251","319","141","632","186","26","39","47","48","0","12","1160","229","95","72","26","20","69","66","1400000US36005005600","Census Tract 56, Bronx County, New York"
"2751","273","483","269","704","207","0","12","42","49","0","12","1307","354","215","241","31","41","184","241","1400000US36005005902","Census Tract 59.02, Bronx County, New York"
"1386","316","364","306","351","175","0","12","51","41","0","12","594","138","26","27","10","16","16","23","1400000US36005006000","Census Tract 60, Bronx County, New York"
"3720","417","349","171","2650","492","0","12","16","26","0","12","613","304","92","86","0","12","92","86","1400000US36005006100","Census Tract 61, Bronx County, New York"
"7233","670","716","450","2784","692","67","91","148","152","0","17","3403","828","115","135","114","136","1","2","1400000US36005006200","Census Tract 62, Bronx County, New York"
"4582","356","1053","295","1511","424","25","39","62","43","0","12","1692","427","239","141","56","52","183","137","1400000US36005006300","Census Tract 63, Bronx County, New York"
"3932","495","507","282","1550","365","0","12","192","172","0","12","1543","464","140","178","0","12","140","178","1400000US36005006400","Census Tract 64, Bronx County, New York"
"5377","593","1180","553","1814","513","0","17","113","138","0","17","1765","571","505","392","411","371","94","123","1400000US36005006500","Census Tract 65, Bronx County, New York"
"6705","746","696","599","1928","655","0","17","0","17","0","17","3948","796","133","150","48","76","85","133","1400000US36005006700","Census Tract 67, Bronx County, New York"
"3230","384","188","136","924","214","74","92","416","183","0","12","1461","373","167","176","17","27","150","174","1400000US36005006800","Census Tract 68, Bronx County, New York"
"7801","742","1146","535","3250","819","30","45","30","72","0","17","2979","668","366","337","121","168","245","296","1400000US36005006900","Census Tract 69, Bronx County, New York"
"4378","537","651","274","1015","353","0","12","602","296","0","12","1903","551","207","233","39","43","168","230","1400000US36005007000","Census Tract 70, Bronx County, New York"
"2795","301","352","161","1125","227","12","13","75","59","0","12","1137","272","94","64","12","14","82","63","1400000US36005007100","Census Tract 71, Bronx County, New York"
"6255","771","934","346","919","313","111","149","2118","697","0","17","1656","448","517","313","58","68","459","316","1400000US36005007200","Census Tract 72, Bronx County, New York"
"4297","325","819","377","1207","359","0","12","0","12","0","12","2169","486","102","105","12","18","90","104","1400000US36005007300","Census Tract 73, Bronx County, New York"
"3634","403","1435","435","1213","292","0","12","0","12","0","12","867","414","119","79","33","35","86","71","1400000US36005007400","Census Tract 74, Bronx County, New York"
"6692","583","1216","451","2888","589","159","163","50","71","0","17","2153","539","226","136","145","118","81","67","1400000US36005007500","Census Tract 75, Bronx County, New York"
"5311","651","790","362","1312","379","0","17","500","341","0","17","2650","671","59","54","21","38","38","34","1400000US36005007600","Census Tract 76, Bronx County, New York"
"2022","230","448","150","715","237","43","62","19","24","0","12","748","252","49","47","25","31","24","39","1400000US36005007700","Census Tract 77, Bronx County, New York"
"7415","664","1612","652","1888","570","0","17","839","374","0","17","2969","922","107","100","0","17","107","100","1400000US36005007800","Census Tract 78, Bronx County, New York"
"7188","807","729","334","2508","548","0","17","0","17","110","164","3686","879","155","117","41","48","114","103","1400000US36005007900","Census Tract 79, Bronx County, New York"
"6713","666","847","351","1765","555","36","45","145","222","0","17","3618","819","302","219","23","30","279","214","1400000US36005008300","Census Tract 83, Bronx County, New York"
"2899","271","1025","321","852","260","75","111","222","156","0","12","595","325","130","98","38","43","92","87","1400000US36005008400","Census Tract 84, Bronx County, New York"
"5631","574","720","243","1668","384","63","64","17","21","0","17","2998","592","165","80","101","61","64","58","1400000US36005008500","Census Tract 85, Bronx County, New York"
"3936","434","1085","361","2059","483","0","12","22","35","0","12","529","280","241","149","86","69","155","136","1400000US36005008600","Census Tract 86, Bronx County, New York"
"6127","418","687","268","1590","322","81","97","34","55","0","17","3612","468","123","110","37","48","86","97","1400000US36005008700","Census Tract 87, Bronx County, New York"
"3218","335","465","210","834","315","88","121","0","12","0","12","1663","398","168","136","57","65","111","119","1400000US36005008900","Census Tract 89, Bronx County, New York"
"3459","450","1539","382","944","321","20","32","75","90","0","12","849","438","32","53","0","12","32","53","1400000US36005009000","Census Tract 90, Bronx County, New York"
"5848","472","1065","350","1121","372","0","17","905","332","0","17","2269","551","488","220","332","181","156","135","1400000US36005009200","Census Tract 92, Bronx County, New York"
"6154","783","827","347","2167","491","40","47","13","21","0","17","2905","656","202","131","89","75","113","107","1400000US36005009300","Census Tract 93, Bronx County, New York"
"2792","254","660","220","680","170","18","25","540","208","0","12","802","239","92","51","55","43","37","31","1400000US36005009600","Census Tract 96, Bronx County, New York"
"4756","622","2346","507","1018","323","0","12","215","230","0","12","1022","343","155","149","16","29","139","148","1400000US36005009800","Census Tract 98, Bronx County, New York"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36005011000","Census Tract 110, Bronx County, New York"
"4582","638","329","172","2292","638","0","12","9","14","0","12","1713","494","239","228","88","80","151","216","1400000US36005011502","Census Tract 115.02, Bronx County, New York"
"1443","291","24","20","656","162","28","32","0","12","0","12","704","302","31","30","24","26","7","12","1400000US36005011700","Census Tract 117, Bronx County, New York"
"5503","438","3802","427","501","340","0","17","197","118","8","15","844","289","151","83","47","42","104","80","1400000US36005011800","Census Tract 118, Bronx County, New York"
"5440","505","734","287","1289","351","22","36","12","18","0","17","3150","532","233","131","54","53","179","134","1400000US36005011900","Census Tract 119, Bronx County, New York"
"3070","294","354","145","1181","194","6","9","14","18","0","12","1368","263","147","113","35","36","112","116","1400000US36005012101","Census Tract 121.01, Bronx County, New York"
"1447","199","228","104","355","151","0","12","0","12","0","12","781","197","83","57","48","42","35","44","1400000US36005012102","Census Tract 121.02, Bronx County, New York"
"4268","589","351","158","1565","350","4","8","18","22","0","12","2163","605","167","126","150","124","17","20","1400000US36005012300","Census Tract 123, Bronx County, New York"
"3860","488","458","313","1134","373","18","31","93","94","0","12","1937","517","220","162","81","97","139","121","1400000US36005012500","Census Tract 125, Bronx County, New York"
"1928","280","437","192","473","151","24","38","68","56","0","12","874","290","52","56","10","20","42","53","1400000US36005012701","Census Tract 127.01, Bronx County, New York"
"4419","559","592","260","1374","286","0","12","4","9","27","43","2147","561","275","290","226","290","49","54","1400000US36005012901","Census Tract 129.01, Bronx County, New York"
"1476","199","975","229","135","87","0","12","0","12","0","12","302","193","64","65","35","54","29","34","1400000US36005013000","Census Tract 130, Bronx County, New York"
"5084","454","904","370","1986","456","9","18","0","17","0","17","2068","493","117","89","51","69","66","58","1400000US36005013100","Census Tract 131, Bronx County, New York"
"7272","594","3771","662","1667","600","0","17","141","137","0","17","1212","550","481","513","0","17","481","513","1400000US36005013200","Census Tract 132, Bronx County, New York"
"6000","720","999","409","2313","578","228","293","241","272","0","17","2091","529","128","95","64","64","64","72","1400000US36005013300","Census Tract 133, Bronx County, New York"
"3590","451","340","203","1710","419","10","16","0","12","130","206","1170","377","230","164","139","159","91","145","1400000US36005013500","Census Tract 135, Bronx County, New York"
"2588","324","1703","265","202","214","0","12","39","45","0","12","557","317","87","67","12","18","75","65","1400000US36005013800","Census Tract 138, Bronx County, New York"
"5851","521","547","216","2111","468","29","33","21","24","0","17","2876","631","267","132","106","96","161","99","1400000US36005014100","Census Tract 141, Bronx County, New York"
"1482","227","47","33","1044","248","35","33","0","12","0","12","337","147","19","23","0","12","19","23","1400000US36005014300","Census Tract 143, Bronx County, New York"
"5138","696","1257","411","2106","474","13","21","189","210","0","17","1404","561","169","150","45","51","124","132","1400000US36005014400","Census Tract 144, Bronx County, New York"
