geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48027021802,86328,16002,5411,936,3547,612,274,152,826
48027021901,44965,11854,4040,737,2530,485,64,154,766
48027021905,80333,14016,3284,378,2143,478,93,32,495
48027021906,95333,21389,5122,801,2519,1583,442,0,482
48027021907,73484,30368,6109,1248,3965,1438,131,216,322
48027021908,93203,16252,7082,1047,4756,1284,264,210,531
48027022001,31717,4979,3989,916,1504,1896,226,157,206
48027022002,87965,27555,5211,1170,4035,398,48,0,636
48027022101,42597,6842,4465,698,2184,1527,142,351,188
48027022103,54625,6481,5712,843,1723,3096,249,528,116
48027022104,38854,5541,4111,525,1854,1668,221,89,169
48027022105,47773,7132,2181,362,740,1118,18,8,241
48027022200,50652,7018,4336,663,2166,1319,127,207,385
48027022300,33975,5827,3574,594,1754,1302,141,58,239
48027022401,39874,14950,6274,990,2628,2306,337,128,857
48027022402,98287,11188,7722,850,3175,2894,231,478,936
48027022403,66197,9290,4239,542,1812,1452,152,187,438
48027022405,47475,11593,2538,664,1095,1052,83,136,172
48027022406,71388,9162,4343,764,1744,1568,193,373,446
48027022407,69342,24136,3426,539,1314,1367,73,245,367
48027022501,44361,9453,3160,563,1788,691,111,174,344
48027022503,43491,12972,4889,599,2058,2116,414,55,62
48027022504,74803,9116,6509,1090,2671,2845,391,273,246
48027022600,25031,8485,3997,568,2321,1170,94,167,242
48027022801,28125,2874,2276,453,924,915,117,100,112
48027022900,31667,7113,3902,741,1871,1441,174,46,169
48027023001,64107,8284,5879,1079,2028,1917,548,205,1132
48027023002,47349,17977,3338,701,2373,798,0,40,127
48027023103,36013,6357,4670,839,2086,1613,110,116,424
48027023104,42344,17875,3217,596,1601,1005,77,99,435
48027023109,50395,5925,3556,655,1157,1723,101,94,320
48027023110,37344,14350,3312,996,530,2050,52,30,563
48027023111,51063,3007,4266,848,1581,1814,151,57,632
