"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2962","312","2011","369","235","165","0","11","708","259","0","11","8","12","0","11","0","11","0","11","1400000US17031806802","Census Tract 8068.02, Cook County, Illinois"
"4878","547","3300","468","35","43","0","11","1421","463","0","11","22","36","100","75","0","11","100","75","1400000US17031806900","Census Tract 8069, Cook County, Illinois"
"5496","492","3185","448","507","332","9","14","1639","403","0","16","83","93","73","68","0","16","73","68","1400000US17031807000","Census Tract 8070, Cook County, Illinois"
"3844","289","3014","271","500","146","0","11","237","110","0","11","17","20","76","59","16","27","60","53","1400000US17031807100","Census Tract 8071, Cook County, Illinois"
"5792","428","3901","467","529","266","0","16","1225","264","0","16","105","111","32","39","0","16","32","39","1400000US17031807200","Census Tract 8072, Cook County, Illinois"
"7464","623","4185","556","387","186","20","29","2546","647","0","16","52","66","274","178","35","41","239","180","1400000US17031807300","Census Tract 8073, Cook County, Illinois"
"6966","684","4988","504","203","224","59","101","1369","506","0","16","112","143","235","197","29","49","206","189","1400000US17031807400","Census Tract 8074, Cook County, Illinois"
"3365","297","2007","248","128","98","0","11","1032","174","0","11","157","142","41","52","0","11","41","52","1400000US17031807500","Census Tract 8075, Cook County, Illinois"
"6414","432","3418","455","83","81","0","16","2634","375","0","16","87","94","192","168","14","23","178","173","1400000US17031807600","Census Tract 8076, Cook County, Illinois"
"6054","558","4183","614","433","294","0","16","1152","443","0","16","113","98","173","131","0","16","173","131","1400000US17031807700","Census Tract 8077, Cook County, Illinois"
"2632","234","2138","262","1","4","0","11","432","182","0","11","39","66","22","22","12","17","10","12","1400000US17031807800","Census Tract 8078, Cook County, Illinois"
"4176","241","2943","339","0","11","0","11","979","210","0","11","48","44","206","178","5","10","201","178","1400000US17031807900","Census Tract 8079, Cook County, Illinois"
"3747","254","2482","415","5","7","0","11","1179","310","0","11","0","11","81","81","32","51","49","52","1400000US17031808001","Census Tract 8080.01, Cook County, Illinois"
"4688","244","3006","345","201","156","16","26","1302","231","0","11","102","123","61","54","10","15","51","52","1400000US17031808002","Census Tract 8080.02, Cook County, Illinois"
