"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"1469","106","1183","113","90","74","0","10","167","65","0","10","10","14","19","19","0","10","19","19","1400000US42003080400","Census Tract 804, Allegheny County, Pennsylvania"
"2098","204","1904","206","83","48","0","10","62","82","0","10","0","10","49","40","0","10","49","40","1400000US42003080600","Census Tract 806, Allegheny County, Pennsylvania"
"1927","161","1361","194","116","70","0","10","401","177","0","10","1","2","48","38","0","10","48","38","1400000US42003080700","Census Tract 807, Allegheny County, Pennsylvania"
"1788","171","1376","195","233","102","8","12","144","125","0","10","2","6","25","17","3","11","22","16","1400000US42003080900","Census Tract 809, Allegheny County, Pennsylvania"
"1858","153","1627","157","170","175","0","10","27","35","0","10","8","15","26","37","0","10","26","37","1400000US42003090100","Census Tract 901, Allegheny County, Pennsylvania"
"2789","258","2473","265","143","86","0","10","61","53","0","10","0","10","112","92","0","10","112","92","1400000US42003090200","Census Tract 902, Allegheny County, Pennsylvania"
"1680","193","1412","180","230","182","0","10","20","20","0","10","4","7","14","13","0","10","14","13","1400000US42003090300","Census Tract 903, Allegheny County, Pennsylvania"
"2145","249","565","144","1457","203","0","10","10","14","0","10","0","10","113","118","0","10","113","118","1400000US42003100500","Census Tract 1005, Allegheny County, Pennsylvania"
"2536","299","1922","206","515","258","0","10","31","47","0","10","10","15","58","47","0","10","58","47","1400000US42003101100","Census Tract 1011, Allegheny County, Pennsylvania"
"3299","222","2813","211","341","111","12","18","54","51","0","10","0","10","79","68","0","10","79","68","1400000US42003101400","Census Tract 1014, Allegheny County, Pennsylvania"
"1071","135","53","38","990","147","0","10","0","10","0","10","25","37","3","5","0","10","3","5","1400000US42003101600","Census Tract 1016, Allegheny County, Pennsylvania"
"1405","247","491","98","812","210","16","21","0","10","0","10","27","38","59","53","0","10","59","53","1400000US42003101700","Census Tract 1017, Allegheny County, Pennsylvania"
"2539","232","1930","110","462","196","9","14","55","72","0","10","0","10","83","56","21","32","62","48","1400000US42003101800","Census Tract 1018, Allegheny County, Pennsylvania"
"4326","443","2635","285","1380","402","0","10","192","189","0","10","0","10","119","111","1","3","118","111","1400000US42003110200","Census Tract 1102, Allegheny County, Pennsylvania"
"2559","320","2130","293","342","166","0","10","12","18","0","10","0","10","75","75","12","19","63","68","1400000US42003110600","Census Tract 1106, Allegheny County, Pennsylvania"
