,id,name,lat,lon,first,last,rides
111,4205,Venice & Lincoln,33.993771,-118.453667,2017-09-01,2022-03-31,3429
112,4212,Windward & Main,33.988129,-118.471741,2017-09-01,2022-03-31,10175
113,4208,Rose & Rennie,33.99868,-118.472977,2017-09-01,2022-03-31,2909
114,4206,California & Lincoln,33.998341,-118.461014,2017-09-01,2022-03-31,3339
115,4207,Rose & 7th,34.000881,-118.46891,2017-09-01,2022-03-31,4182
116,4214,Ocean Front Walk & Navy,33.99556,-118.481552,2017-09-07,2022-03-31,36401
117,4216,17th St / SMC E Line Station,34.023392,-118.479637,2017-09-07,2022-03-31,3341
118,4210,Ocean Front Walk & North Venice,33.984341,-118.47155,2017-09-07,2022-03-31,27384
119,4215,Downtown Santa Monica E Line Station,34.014309,-118.491341,2017-09-07,2022-03-31,22692
120,4209,Rose & Main,33.996239,-118.477448,2017-09-07,2022-03-31,10546
121,4211,Pacific & North Venice,33.984928,-118.469963,2017-09-07,2022-03-31,9149
122,4202,Abbot Kinney & Cadiz,33.991161,-118.468292,2017-09-07,2022-03-31,7164
123,4204,Washington & Abbot Kinney,33.988419,-118.45163,2017-09-07,2022-03-31,5043
124,4213,7th & Westminster,33.994701,-118.464081,2017-09-08,2022-03-31,1311
125,4220,Park & Echo Park,34.074829,-118.25872,2017-12-30,2022-03-31,8769
126,4227,Grand / LATTC,34.030628,-118.2696,2017-12-17,2022-03-31,2334
128,4254,Hoover & 29th,34.028679,-118.284111,2018-06-28,2022-03-31,2199
129,4249,Figueroa & McCarthy Way,34.020302,-118.281181,2018-06-29,2022-03-31,4813
130,4248,29th & Ellendale,34.028351,-118.288673,2018-07-02,2022-03-31,2825
131,4246,32nd & Figueroa,34.023708,-118.279167,2018-07-03,2022-03-31,3464
132,4250,Severance & Adams,34.03017,-118.280952,2018-07-09,2022-03-31,4583
133,4245,University & Hoover,34.02404,-118.283409,2018-07-10,2022-03-31,3451
134,4267,28th & University,34.027618,-118.280678,2018-08-23,2022-03-31,1463
135,4273,Hoover & 32nd,34.02586,-118.284103,2018-10-10,2022-03-31,5527
136,4266,28th & Figueroa,34.026291,-118.277687,2018-12-01,2022-03-31,5034
137,4276,Mariachi Plaza,34.04739,-118.218849,2018-12-02,2018-12-02,147
138,4275,Expo Park/LAFC,34.01252,-118.285896,2018-12-18,2022-03-31,1849
139,4293,Westlake & 3rd,34.062279,-118.271523,2019-01-26,2022-03-31,1839
140,4304,Shatto Pl & Wilshire,34.06258,-118.290092,2019-01-30,2022-03-31,5137
141,4306,8th & Vermont,34.057652,-118.292183,2019-01-30,2022-03-31,1982
142,4315,Union & 7th,34.054031,-118.27092,2019-02-06,2022-03-31,4950
143,4313,Westlake/Macarthur Park Station,34.056808,-118.275002,2019-02-06,2022-03-31,2256
144,4311,7th & Berendo,34.059689,-118.294662,2019-02-07,2022-03-31,2388
145,4344,Downtown Santa Monica Expo Line Station,34.014309,-118.491341,2019-02-08,2020-09-30,5433
146,4346,Ocean Front Walk & North Venice,33.984341,-118.47155,2019-02-09,2020-09-30,6899
147,4314,7th & Park View,34.057709,-118.279762,2019-02-09,2022-03-31,2816
